"link"|"datasetFolder"|"datasetDescription"|"title"|"dsFeatures"|"numberObs"|"area"|"atributeType"|"numberAttr"|"dateDonated"|"missingValues"|"numberWebHits"|"image"
"http://archive.ics.uci.edu/ml/datasets/Parking+Birmingham"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00482/"|"http://archive.ics.uci.edu/ml/datasets/Parking+Birmingham#"|"Parking Birmingham Data Set"|"Multivariate, Univariate, Sequential, Time-Series"|"35717"|"Computer"|"Real"|"4"|"2019-01-02"|"Yes"|"17312"|""
"http://archive.ics.uci.edu/ml/datasets/Geographical+Original+of+Music"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00315/"|"http://archive.ics.uci.edu/ml/datasets/Geographical+Original+of+Music#"|"Geographical Original of Music Data Set"|"Multivariate"|"1059"|"N/A"|"Real"|"68"|"2014-10-18"|"N/A"|"71045"|""
"http://archive.ics.uci.edu/ml/datasets/Lenses"|"http://archive.ics.uci.edu/ml/machine-learning-databases/lenses/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/lenses/lenses.names"|"Lenses Data Set"|"Multivariate"|"24"|"N/A"|"Categorical"|"4"|"1990-08-01"|"No"|"144914"|""
"http://archive.ics.uci.edu/ml/datasets/Soybean+%28Large%29"|"http://archive.ics.uci.edu/ml/machine-learning-databases/soybean/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/soybean/soybean-large.names"|"Soybean (Large) Data Set"|"Multivariate"|"307"|"Life"|"Categorical"|"35"|"1988-07-11"|"Yes"|"107394"|"http://archive.ics.uci.edu/ml/assets/MLimages/Large90.jpg"
"http://archive.ics.uci.edu/ml/datasets/University"|"http://archive.ics.uci.edu/ml/machine-learning-databases/university/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/university/university.names"|"University Data Set"|"Multivariate"|"285"|"N/A"|"Categorical, Integer"|"17"|"1988-07-01"|"Yes"|"183933"|"http://archive.ics.uci.edu/ml/assets/MLimages/Large104.jpg"
"http://archive.ics.uci.edu/ml/datasets/Wilt"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00285/"|"http://archive.ics.uci.edu/ml/datasets/Wilt#"|"Wilt Data Set"|"Multivariate"|"4889"|"Life"|"N/A"|"6"|"2014-03-13"|"N/A"|"48855"|""
"http://archive.ics.uci.edu/ml/datasets/Combined+Cycle+Power+Plant"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00294/"|"http://archive.ics.uci.edu/ml/datasets/Combined+Cycle+Power+Plant#"|"Combined Cycle Power Plant Data Set"|"Multivariate"|"9568"|"Computer"|"Real"|"4"|"2014-03-26"|"N/A"|"118061"|""
"http://archive.ics.uci.edu/ml/datasets/SMS+Spam+Collection"|"http://archive.ics.uci.edu/ml/machine-learning-databases/00228/"|"http://archive.ics.uci.edu/ml/datasets/SMS+Spam+Collection#"|"SMS Spam Collection Data Set"|"Multivariate, Text, Domain-Theory"|"5574"|"Computer"|"Real"|"N/A"|"2012-06-22"|"N/A"|"229813"|""
"http://archive.ics.uci.edu/ml/datasets/Cloud"|"http://archive.ics.uci.edu/ml/machine-learning-databases/undocumented/taylor/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/undocumented/taylor/cloud.data"|"Cloud Data Set"|"Multivariate"|"1024"|"Physical"|"Real"|"10"|"1989-08-03"|"N/A"|"113382"|"http://archive.ics.uci.edu/ml/assets/MLimages/Large155.jpg"
"http://archive.ics.uci.edu/ml/datasets/Insurance+Company+Benchmark+%28COIL+2000%29"|"http://archive.ics.uci.edu/ml/machine-learning-databases/tic-mld/"|"http://archive.ics.uci.edu/ml/machine-learning-databases/tic-mld/ticeval2000.txt"|"Insurance Company Benchmark (COIL 2000) Data Set"|"Multivariate"|"9000"|"Social"|"Categorical, Integer"|"86"|"2000-07-03"|"No"|"129438"|""
